open,high,low,close,adjusted_close,volume,dividend_amount,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,shortTermInvestments,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,shortTermDebt,totalNonCurrentLiabilities,longTermDebt,shortLongTermDebtTotal,totalShareholderEquity,retainedEarnings,commonStockSharesOutstanding,operatingCashflow,depreciationDepletionAndAmortization,capitalExpenditures,cashflowFromInvestment,cashflowFromFinancing,dividendPayout,proceedsFromRepurchaseOfEquity,changeInCashAndCashEquivalents,netIncome,grossProfit,totalRevenue,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,interestExpense,depreciationAndAmortization,incomeBeforeTax,netIncomeFromContinuingOperations,ebit,ebitda,reportedEPS,estimatedEPS,surprisePercentage,shares_outstanding_diluted,shares_outstanding_basic,monthly_return,monthly_volatility,price_range_pct,volume_change,profit_margin,operating_margin,gross_margin,current_ratio,debt_to_equity,free_cash_flow,fcf_margin,ebitda_margin,interest_coverage
11.57,12.98,11.48,12.8,10.2634,826054600,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.15,6.6667,,,0.10727039302629171,0.09554196385865289,0.1171875,-0.041708115464915485,,,,,,,,,
12.79,13.79,12.28,13.2,10.5841,957367300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.15,6.6667,,,0.031246955200030957,0.09088002446536884,0.11439393939393938,0.15896370530470993,,,,,,,,,
13.39,14.51,12.99,13.57,10.8808,715220900,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.23,13.0435,,,0.028032614960176172,0.04484885831871964,0.11201179071481206,-0.2529294660471483,,,,,,,,,
13.67,13.69,12.82,12.99,10.4157,646569300,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.23,13.0435,,,-0.04274501874862158,0.04182227800549223,0.06697459584295606,-0.09598656862516186,,,,,,,,,
12.94,14.0,12.0,12.4,9.9427,1094118100,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.23,13.0435,,,-0.04541221425348263,0.04165479224831386,0.16129032258064516,0.692189994173865,,,,,,,,,
12.42,13.05,11.85,12.68,10.1672,828448900,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.0,,,0.022579379846520364,0.03850811137915713,0.0946372239747635,-0.24281583496333714,,,,,,,,,
12.59,13.03,11.7499,12.6,10.103,743735600,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.0,,,-0.006314422849948764,0.03412317393198746,0.10159523809523803,-0.10225531110005703,,,,,,,,,
12.68,12.95,11.99,12.21,9.7903,1060568700,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,0.0,,,-0.03095120261308515,0.026793488045369383,0.07862407862407854,0.42600233201153737,,,,,,,,,
12.23,13.15,12.19,12.57,10.079,1071865600,0.0,19346000000.0,6266000000.0,2837000000.0,2837000000.0,,2205000000.0,13080000000.0,1366000000.0,10635000000.0,10635000000.0,7366000000.0,566000000.0,7231000000.0,5563000000.0,240000000.0,907000000.0,1668000000.0,156000000.0,1063000000.0,12115000000.0,5063000000.0,5238000000.0,298000000.0,187000000.0,34000000.0,-571000000.0,-608000000.0,,-74000000.0,,797000000.0,2535000000.0,3292000000.0,1116000000.0,825000000.0,468000000.0,1419000000.0,16000000.0,167000000.0,1122000000.0,0.0,1126000000.0,1293000000.0,0.19,0.19,0.0,,,0.029488371142865955,0.030391207748815503,0.0763723150357996,0.010651738072224859,0.24210206561360875,0.33900364520048604,0.770048602673147,1.126370663311163,0.5968633924886504,264000000.0,0.08019441069258809,0.3927703523693803,70.375
12.42,12.8,12.06,12.42,9.9587,917275300,0.0,19346000000.0,6266000000.0,2837000000.0,2837000000.0,,2205000000.0,13080000000.0,1366000000.0,10635000000.0,10635000000.0,7366000000.0,566000000.0,7231000000.0,5563000000.0,240000000.0,907000000.0,1668000000.0,156000000.0,1063000000.0,12115000000.0,5063000000.0,5238000000.0,298000000.0,187000000.0,34000000.0,-571000000.0,-608000000.0,,-74000000.0,,797000000.0,2535000000.0,3292000000.0,1116000000.0,825000000.0,468000000.0,1419000000.0,16000000.0,167000000.0,1122000000.0,0.0,1126000000.0,1293000000.0,0.19,0.19,0.0,,,-0.011935707907530513,0.030904383291779282,0.05958132045088568,-0.14422545139987697,0.24210206561360875,0.33900364520048604,0.770048602673147,1.126370663311163,0.5968633924886504,264000000.0,0.08019441069258809,0.3927703523693803,70.375
